target_id	length	eff_length	est_counts	tpm
gene-HO397_00005	66	16.1613	1867	1138.15
gene-HO397_00010	2463	2355.34	119190	498.561
gene-HO397_00015	933	848.137	52603	611.049
gene-HO397_00020	1287	1149.37	47286	405.324
gene-HO397_00025	297	115.423	5116	436.686
gene-HO397_00030	777	569.528	1753	30.3248
gene-HO397_00035	1431	1315.59	740	5.54169
gene-HO397_00040	954	721.001	42433	579.829
gene-HO397_00045	588	384.94	2697	69.0271
gene-HO397_00050	567	370.729	1263	33.5644
gene-HO397_00055	714	483.516	228	4.64575
gene-HO397_00060	405	204.712	122	5.87149
gene-HO397_00065	1917	1655.46	136435	811.969
gene-HO397_00070	1131	986.501	11256	112.413
gene-HO397_00075	1113	945.246	1389.4	14.4815
gene-HO397_00080	210	56.3041	165	28.8719
gene-HO397_00085	1167	994.021	1802	17.8604
gene-HO397_00090	900	666.122	320	4.73291
gene-HO397_00095	960	519.588	212	4.01983
gene-HO397_00100	1353	921.532	225	2.40549
gene-HO397_00105	1089	587.999	184	3.08299
gene-HO397_00110	698	512.014	343.811	6.6156
gene-HO397_00115	347	154.713	45	2.8656
gene-HO397_00120	264	91.6801	5714	614.04
gene-HO397_00125	219	62.0411	220	34.9361
gene-HO397_00130	942	785.02	5262	66.0392
gene-HO397_00135	2817	2851.03	53124	183.578
gene-HO397_00140	495	302.441	5142	167.503
gene-HO397_00145	450	242.165	1991	81.0012
gene-HO397_00150	951	786.04	3268	40.9609
gene-HO397_00155	915	760.512	2895	37.5037
gene-HO397_00160	822	649.349	18089	274.453
gene-HO397_00165	1149	998.184	6489	64.047
gene-HO397_00170	3222	3281.76	98619	296.064
gene-HO397_00175	396	196.697	537	26.8972
gene-HO397_00180	591	401.443	436	10.7003
gene-HO397_00185	786	626.785	197	3.09656
gene-HO397_00190	1554	1392.52	406	2.87248
gene-HO397_00195	1217	1048.93	386	3.62553
gene-HO397_00200	1143	990.369	652	6.48608
gene-HO397_00205	1515	1347.61	421	3.07787
gene-HO397_00210	771	576.787	247	4.21904
gene-HO397_00215	942	808.947	226	2.75246
gene-HO397_00220	1287	1112.74	377	3.33796
gene-HO397_00225	288	108.75	50	4.52971
gene-HO397_00230	1332	1222.43	379	3.05454
gene-HO397_00235	531	338.269	251	7.31045
gene-HO397_00240	1863	1818.57	1688	9.14479
