target_id	length	eff_length	est_counts	tpm
gene-HO397_00005	66	17.25	191	687.92
gene-HO397_00010	2463	2384.55	4544	118.393
gene-HO397_00015	933	708.102	1437	126.083
gene-HO397_00020	1287	1129.39	1772	97.4794
gene-HO397_00025	297	83.8363	75	55.5806
gene-HO397_00030	777	527.651	348	40.9757
gene-HO397_00035	1431	1288.51	229	11.0419
gene-HO397_00040	954	755.024	8508	700.101
gene-HO397_00045	588	347.271	234	41.8641
gene-HO397_00050	567	330.746	90	16.906
gene-HO397_00055	714	489.174	10	1.27008
gene-HO397_00060	405	164.843	14	5.27657
gene-HO397_00065	1917	1661.25	3460	129.4
gene-HO397_00070	1131	966.496	504	32.3985
gene-HO397_00075	1113	990.92	127.2	7.97521
gene-HO397_00080	210	36.0831	97	167.017
gene-HO397_00085	1167	977.488	387	24.5976
gene-HO397_00090	900	727.687	166	14.1729
gene-HO397_00095	960	542.495	15	1.71787
gene-HO397_00100	1353	951.696	5	0.326412
gene-HO397_00105	1089	605.204	1	0.102658
gene-HO397_00110	698	446.117	10.3959	1.44779
gene-HO397_00115	347	119.227	4	2.08439
gene-HO397_00120	264	63.1395	1419	1396.29
gene-HO397_00125	219	40.0907	14	21.6959
gene-HO397_00130	942	687.693	996	89.9826
gene-HO397_00135	2817	3044.42	3503	71.4874
gene-HO397_00140	495	244.479	327	83.0997
gene-HO397_00145	450	203.512	197	60.141
gene-HO397_00150	951	772.385	294	23.6487
gene-HO397_00155	915	708.182	381	33.4252
gene-HO397_00160	822	606.517	2197	225.051
gene-HO397_00165	1149	921.141	4239	285.911
gene-HO397_00170	3222	3124.42	8518	169.38
gene-HO397_00175	396	157.438	312	123.123
gene-HO397_00180	591	390.222	12	1.91057
gene-HO397_00185	786	531.143	8	0.935778
gene-HO397_00190	1554	1376.06	42	1.89629
gene-HO397_00195	1217	1105.55	59	3.31565
gene-HO397_00200	1143	987.43	120	7.55038
gene-HO397_00205	1515	1546.27	15	0.602699
gene-HO397_00210	771	608.92	15	1.53047
gene-HO397_00215	942	711.475	15	1.30986
gene-HO397_00220	1287	1082.91	14	0.803213
gene-HO397_00225	288	78.1062	1	0.795441
gene-HO397_00230	1332	1207.55	10	0.514506
gene-HO397_00235	531	275.975	62	13.9578
gene-HO397_00240	1863	1692.78	189	6.93675
gene-HO397_00245	480	230.716	189	50.8954
gene-HO397_00250	843	637.616	275	26.7959
gene-HO397_00255	378	143.006	209	90.7999
gene-HO397_00260	822	598.144	595	61.8023
gene-HO397_00265	990	786.117	553	43.7051
gene-HO397_00270	1287	1017.89	1512	92.2881
gene-HO397_00275	2355	2311.03	3536	95.0605
gene-HO397_00280	816	507.5	193	23.6274
gene-HO397_00285	660	443.198	91	12.7567
gene-HO397_00290	2907	2665.22	331	7.71593
gene-HO397_00295	2352	2271.81	227	6.20795
gene-HO397_00300	696	477.717	54	7.02291
gene-HO397_00305	1503	1520.17	231	9.44089
gene-HO397_00310	1701	1608.51	162	6.25728
gene-HO397_00315	879	685.942	1001	90.6652
gene-HO397_00320	765	532.395	110	12.8367
gene-HO397_00325	699	475.743	95	12.4064
gene-HO397_00330	1611	1593.92	129	5.02826
gene-HO397_00335	984	763.041	530	43.1541
gene-HO397_00340	1656	1485.86	190	7.94458
gene-HO397_00345	132	14.903	66	275.146
gene-HO397_00350	1179	875.516	167	11.8508
gene-HO397_00355	606	347.177	1037	185.576
gene-HO397_00360	1401	1268.15	1546	75.7413
gene-HO397_00365	1092	889.35	829	57.913
gene-HO397_00370	1572	1350.4	1186	54.5654
gene-HO397_00375	87	9.5	15	98.0983
gene-HO397_00380	945	581.399	67	7.15969
gene-HO397_00385	1725	1685.52	2557	94.2519
gene-HO397_00390	492	241.747	591	151.887
gene-HO397_00395	87	9.5	8	52.3191
gene-HO397_00400	1005	768.949	1146	92.5936
gene-HO397_00405	459	211.594	683	200.545
gene-HO397_00410	942	805.762	612	47.1887
gene-HO397_00415	366	133.589	150	69.7614
gene-HO397_00420	1767	1690.67	664	24.4008
gene-HO397_00425	1488	1260.7	901	44.4024
gene-HO397_00430	1359	1183.21	772	40.5369
gene-HO397_00435	1083	903.893	511	35.1235
gene-HO397_00440	1317	1032.98	843	50.7023
gene-HO397_00445	1245	999.895	690	42.8735
gene-HO397_00450	1068	913.346	546	37.1408
gene-HO397_00455	1476	1336.03	948	44.0844
gene-HO397_00460	921	620.227	805	80.6379
gene-HO397_00465	831	549.333	507	57.3411
gene-HO397_00470	1263	1055.24	1192	70.1811
gene-HO397_00475	1152	929.804	4449	297.279
gene-HO397_00480	918	602.612	6379	657.671
gene-HO397_00485	513	261.486	729	173.21
gene-HO397_00490	2706	2516.69	2797	69.049
gene-HO397_00495	390	152.602	75	30.5347
gene-HO397_00500	198	31.5066	103	203.109
gene-HO397_00505	744	468.156	324	42.998
gene-HO397_00510	621	347.254	214	38.2878
gene-HO397_00515	1044	774.128	2433	195.264
gene-HO397_00520	1203	1004.47	44	2.72152
gene-HO397_00525	1386	1180.01	97	5.10719
gene-HO397_00530	441	195.59	7	2.22354
gene-HO397_00535	894	628.804	417	41.2017
gene-HO397_00540	552	289.489	394	84.5587
gene-HO397_00545	855	607.733	479	48.9685
gene-HO397_00550	1374	1162.52	3563	190.419
gene-HO397_00555	765	545.204	556	63.3592
gene-HO397_00560	2664	2615.99	16115	382.727
gene-HO397_00565	1893	1746.78	9608	341.734
gene-HO397_00570	1425	1191.95	9874	514.672
gene-HO397_00575	1854	1674.41	54	2.00367
gene-HO397_00580	2598	2549.92	4520	110.13
gene-HO397_00585	363	131.333	229	108.332
gene-HO397_00590	795	485.365	1006	128.773
gene-HO397_00595	867	587.541	1022	108.07
gene-HO397_00600	348	120.012	250	129.422
gene-HO397_00605	1551	1424.58	301	13.1272
gene-HO397_00610	2391	2347.22	243	6.432
gene-HO397_00615	537	308.547	324	65.2406
gene-HO397_00620	663	429.654	1910	276.19
gene-HO397_00625	927	634.467	247	24.187
gene-HO397_00630	771	608.581	163	16.6404
gene-HO397_00635	441	195.59	290	92.1181
gene-HO397_00640	1230	942.496	131	8.63547
gene-HO397_00645	381	145.393	877	374.758
gene-HO397_00650	903	617.169	75	7.55007
gene-HO397_00655	852	621.55	1488	148.738
gene-HO397_00660	795	778.619	1896	151.289
gene-HO397_00665	1239	980.578	0	0
gene-HO397_00670	597	341.079	0	0
gene-HO397_00675	606	349.758	0	0
gene-HO397_00680	570	315.002	0	0
gene-HO397_00685	2598	2339.58	0	0
gene-HO397_00690	741	482.969	0	0
gene-HO397_00695	585	329.433	0	0
gene-HO397_00700	480	230.716	67	18.0423
gene-HO397_00705	1419	1280.64	936	45.4091
gene-HO397_00710	927	662.853	88	8.2482
gene-HO397_00715	456	208.91	3280	975.457
gene-HO397_00720	705	436.335	664	94.5457
gene-HO397_00725	531	361.743	128	21.9839
gene-HO397_00730	2430	2269.74	414	11.3323
gene-HO397_00735	2535	2463.46	1007	25.3967
gene-HO397_00740	435	190.222	1918	626.444
gene-HO397_00745	1229	1023.44	1	0.0607057
gene-HO397_00750	1812	1601.53	3423	132.79
gene-HO397_00755	798	637.635	381	37.1233
gene-HO397_00760	891	615.889	284	28.649
gene-HO397_00765	1983	2138.44	306	8.89035
gene-HO397_00770	1281	1058.59	2748	161.281
gene-HO397_00775	1422	1379.76	477	21.4788
gene-HO397_00780	66	17.25	0	0
gene-HO397_00785	345	117.695	124	65.4572
gene-HO397_00790	624	379.326	53	8.68074
gene-HO397_00795	801	720.301	89	7.67662
gene-HO397_00800	699	437.902	1574	223.317
gene-HO397_00805	1518	1183.74	661	34.6929
gene-HO397_00810	1425	1223.28	800	40.6309
gene-HO397_00815	1158	908.751	293	20.0317
gene-HO397_00820	387	150.13	4292	1776.17
gene-HO397_00825	813	553.71	85	9.53741
gene-HO397_00830	825	590.948	4201	441.669
gene-HO397_00835	2673	2615.97	1013	24.0586
gene-HO397_00840	795	474.524	1407	184.217
gene-HO397_00845	726	440.516	11201	1579.75
gene-HO397_00850	852	499.571	4518	561.879
gene-HO397_00855	726	533.173	911	106.156
gene-HO397_00860	558	263.785	2659	626.271
gene-HO397_00865	1197	974.235	149	9.50203
gene-HO397_00870	759	474.001	716	93.8486
gene-HO397_00875	858	624.547	451	44.8648
gene-HO397_00880	1353	1200.81	1409	72.9005
gene-HO397_00885	2433	2365.19	5806	152.512
gene-HO397_00890	486	236.224	2053	539.956
gene-HO397_00895	1026	720.812	2102	181.178
gene-HO397_00900	456	208.91	1364	405.647
gene-HO397_00905	789	541.722	638	73.1708
gene-HO397_00910	1149	908.586	447	30.5658
gene-HO397_00915	597	335.206	123	22.7975
gene-HO397_00920	3483	3592.24	1116	19.3016
gene-HO397_00925	960	674.512	1015	93.4911
gene-HO397_00930	2142	2086.11	295	8.78575
gene-HO397_00935	390	152.602	88	35.8274
gene-HO397_00940	1299	1109.2	182	10.1943
gene-HO397_00945	261	61.3797	230	232.807
gene-HO397_00950	201	32.573	403	768.673
gene-HO397_00955	546	291.096	145	30.9475
gene-HO397_00960	423	179.877	76	26.2501
gene-HO397_00965	711	519.963	163	19.4764
gene-HO397_00970	825	617.993	49	4.92614
